,titles,authors,stars,reviews,cover,prices,publishers,genres,year
21,The Lost World,Michael Crichton,4.5,1507.0,Paperback,14.55,"Microsoft Press (August 1, 1994)", Computers & Technology ,1995
22,"Debugging the Development Process: Practical Strategies for Staying Focused, Hitting Ship Dates, and Building Solid Teams",Steve Maguire,3.7,22.0,Paperback,0.1,"Bantam; 1 edition (September 1, 1995)"," Health, Fitness & Dieting ",1995
23,Emotional Intelligence: Why It Can Matter More than IQ,Daniel Goleman,4.3,906.0,Hardcover,8.98,"Spectra (August 1, 1993)", Literature & Fiction ,1995
24,Doomsday Book,Connie Willis,4.0,884.0,Mass Market Paperback,7.99,"Spectra; Revised Edition edition (March 1, 1984)", Science & Math ,1995
25,"Startide Rising (The Uplift Saga, Book 2)",David Brin,4.3,170.0,Mass Market Paperback,7.99,"Starfire (September 1, 1992)", History ,1995
26,HIGH TRAIL TO DANGER (A Bantam Starfire Book),Meg O'Brien,3.6,2.0,Mass Market Paperback,3.0,"Starfire (September 1, 1992)", Textbooks ,1995
27,The Art of War (Pocket Edition) (Shambhala Pocket Classics),Sun Tzu,4.2,5836.0,Paperback,8.74,"Shambhala; Reprint edition (May 7, 1991)", Textbooks ,1995
28,Communities Directory: A Guide to Cooperative Living :1995 (Communities Directory: A Guide to Intentional Communities & Cooperative Living),Fellowship for Intentional Community,2.4,4.0,Paperback,7.92,Fellowship for Intentional; 2nd edition (April 1995), Arts & Photography ,1995
29,The Age of Innocence,David Hamilton,3.8,47.0,Hardcover,122.0,"Aurum Press (February 1, 1992)", Computers & Technology ,1995
30,Learning Perl (Nutshell Handbooks),Randal L. Schwartz,4.7,5.0,Paperback,2.75,"O'Reilly Media; 1 edition (November 11, 1993)", Humor & Entertainment ,1995
31,"Mirror Image (Tom Clancy's Op-Center, Book 2)",Tom Clancy,4.1,74.0,Mass Market Paperback,8.59,"Berkley Book; 1st edition (November 1, 1995)", Science & Math ,1995
32,Snow Falling on Cedars,David Guterson,4.3,816.0,Paperback,8.89,"Vintage; 1st edition (September 26, 1995)", Comics & Graphic Novels ,1995
33,Life on the Screen,Sherry Turkle,3.7,13.0,Hardcover,12.97,"Simon & Schuster; First Edition edition (November 30, 1995)", Business & Money ,1995
34,"Calvin & Hobbes Books, Tenth Anniversary Book",Bill Watterson,4.8,816.0,Paperback,12.01,Andrews McMeel Publishing; Anniversary edition (1995), Business & Money ,1995
35,Inside the Tornado: Marketing Strategies from Silicon Valley's Cutting Edge,Geoffrey A. Moore,4.4,60.0,Hardcover,0.1,"HarperBusiness; 1st edition (October 5, 1995)", Children's Books ,1995
36,The Big Book of Weirdos (Factoid Books),Carl A. Posey,4.9,9.0,Paperback,275.0,"Dc Comics; Gph edition (April 1, 1995)"," Mystery, Thriller & Suspense ",1995
37,Valis,Philip K. Dick,3.8,174.0,Paperback,2.98,"Vintage; Reissue edition (July 2, 1991)", Science Fiction & Fantasy ,1995
38,Snow Crash,Neal Stephenson,4.1,1519.0,Mass Market Paperback,3.0,"Spectra (April 1, 1993)", Science & Math ,1995
39,Six Easy Pieces: Essentials of Physics Explained by Its Most Brilliant Teacher (boxed set: hardcover book + 6 CDs),Richard P. Feynman,4.4,189.0,Paperback,8.97,"Basic Books (November 20, 1994)", Science Fiction & Fantasy ,1995
40,Operation Elbow Room: An Interplanetary Ecofiction,Joseph J. Phillips,4.2,128.0,Paperback,4.73,"Fithian Pr (September 1, 1995)", Science Fiction & Fantasy ,1995
41,Permutation City,Greg Egan,4.5,46.0,Mass Market Paperback,2.15,"Eos (October 1, 1995)", Science Fiction & Fantasy ,1995
42,The Innkeeper's Song,Peter S. Beagle,4.0,55.0,Paperback,4.45,"Roc Trade; 3rd Pinting edition (October 1, 1994)", Medical Books ,1995
43,"Insanely Great: The Life and Times of Macintosh, the Computer that Changed Everything",Steven Levy,4.5,462.0,Paperback,7.89,"Penguin Books (January 1, 1995)", Reference ,1995
44,Molecular Biology of the Cell 3E,Bruce Alberts,4.4,23.0,Hardcover,21.26,Garland Science; 3 edition (March 1994), Literature & Fiction ,1995
45,The Race,Eliyahu M. Goldratt,4.0,66.0,Paperback,13.0,"North River Press; 1 edition (January 1, 1996)", Literature & Fiction ,1995
46,Surfing the Himalayas: A Spiritual Adventure,Frederick Lenz,4.1,521.0,Hardcover,0.1,"St Martins Pr; First Edition edition (November 1, 1995)", Arts & Photography ,1995
47,The Horse Whisperer,Nicholas Evans,4.5,139.0,Hardcover,16.16,Delacorte Press (October 1995), Science Fiction & Fantasy ,1995
48,The Physics Of Star Trek,Lawrence M. Krauss,3.9,1044.0,Hardcover,12.0,"Basic Books; First Edition edition (October 19, 1995)",,1995
49,Red Mars (Mars Trilogy),Kim Stanley Robinson,,,Mass Market Paperback,7.19,"Spectra; Reprint edition (October 1, 1993)",,1995
0,Politically Correct Holiday Stories: For an Enlightened Yuletide Season,James Finn Garner,4.4,41.0,Hardcover,8.47,"John Wiley & Sons Inc; First Edition edition (October 1, 1995)", Humor & Entertainment ,1995
1,The Stone Diaries,Carol Diggory Shields,3.8,233.0,Paperback,2.22,"Penguin Books (April 1, 1995)", Literature & Fiction ,1995
2,Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time,Dava Sobel,4.5,990.0,Hardcover,23.75,"Walker Books; 1 edition (November 1, 1995)", Engineering & Transportation ,1995
3,The Art of Human-Computer Interface Design,Brenda Laurel,3.1,8.0,Paperback,1.99,"Addison-Wesley Professional; 1 edition (January 1, 1990)", Computers & Technology ,1995
4,Gold: The Final Science Fiction Collection,Isaac Asimov,3.8,26.0,Hardcover,18.0,"Harper Prism; First Edition edition (March 1, 1995)", Science Fiction & Fantasy ,1995
5,Lady Cottington's Pressed Fairy Book,Terry Jones,4.6,202.0,Hardcover,45.45,"Turner Publishing (September 1, 1994)", Humor & Entertainment ,1995
6,Sponging: A Guide to Living Off Those You Love,Anthony E. Marsh,5.0,5.0,Paperback,13.99,"Dune Road Books (September 1, 1994)", Humor & Entertainment ,1995
7,"Out of Control: The New Biology of Machines, Social Systems, & the Economic World",Kevin Kelly,4.6,61.0,Paperback,17.92,"Basic Books; Reprint edition (April 14, 1995)", Computers & Technology ,1995
8,Legacy,Greg Bear,3.7,60.0,Hardcover,9.24,"Tor Books; 1st edition (June 1, 1995)", Science Fiction & Fantasy ,1995
9,Show Stopper!: The Breakneck Race to Create Windows NT and the Next Generation at Microsoft,G. Pascal Zachary,4.0,27.0,Hardcover,2.98,"Free Press (June 1, 1994)", Computers & Technology ,1995
10,Self-Editing for Fiction Writers: How to Edit Yourself into Print,Renni Browne,4.6,71.0,Paperback,18.0,Harpercollins (March 1994), Textbooks ,1995
11,Beyond Prozac: Antidotes for Modern Times,Michael J. Norden,4.6,13.0,Hardcover,7.98,"William Morrow; 1 edition (September 7, 1995)", Children's Books ,1995
12,The Illusion of Life: Disney Animation,Ollie Johnston,4.9,226.0,Hardcover,35.94,"Disney Editions; Revised, Subsequent edition (October 19, 1995)", Children's Books ,1995
13,Dark Rivers of the Heart,Dean Koontz,4.3,246.0,Mass Market Paperback,2.29,"Ballantine Books; 1st Ballantine Books Ed edition (September 27, 1995)"," Mystery, Thriller & Suspense ",1995
14,My American Journey: An Autobiography,Colin L. Powell,4.7,155.0,Hardcover,8.75,"Random House; 1st edition (September 9, 1995)", Biographies & Memoirs ,1995
15,"MICROSOFT SECRETS: How the World's Most Powerful Software Company Creates Technology, Shapes Markets, and Manages People",Michael A. Cusumano,4.0,12.0,Hardcover,25.0,"Free Press; First Printing edition (October 19, 1995)", Computers & Technology ,1995
16,Your Money or Your Life: Transforming Your Relationship with Money and Achieving Financial MORE,Joe Dominguez,4.1,460.0,Paperback,22.54,"Penguin Books; Reprint edition (October 1, 1993)", Business & Money ,1995
17,PGP: Pretty Good Privacy,Simson Garfinkel,3.8,14.0,Paperback,1.4,"O'Reilly Media; 1 edition (December 11, 1994)", Computers & Technology ,1995
18,Islam,Fazlur Rahman,3.6,9.0,Paperback,18.0,"University of Chicago Press; 2nd edition (August 15, 1979)", Textbooks ,1995
19,World Wide Web Marketing: Integrating the Internet into Your Marketing Strategy,Jim Sterne,3.1,4.0,Paperback,2.3,"Wiley; 1 edition (November 3, 1995)", Business & Money ,1995
20,Interface,Stephen Bury,4.0,83.0,Paperback,1.75,"Bantam (May 1, 1995)"," Mystery, Thriller & Suspense ",1995
21,Lenin's Tomb: The Last Days of the Soviet Empire,David Remnick,4.5,83.0,Paperback,10.96,"Vintage; Reprint edition (April 26, 1994)", Textbooks ,1995
22,The Digital Economy: Promise and Peril in the Age of Networked Intelligence,Don Tapscott,3.6,21.0,Hardcover,4.99,"McGraw-Hill; 1st edition (October 1, 1995)", Computers & Technology ,1995
23,Necroscope V: Deadspawn,Brian Lumley,4.4,25.0,Mass Market Paperback,2.95,"Tor Books; 8/16/91 edition (September 15, 1991)", Literature & Fiction ,1995
24,Software Development: A Legal Guide/Book and Disk,Stephen; Elias,2.0,1.0,Paperback,15.95,"Nolo, Berkeley, California, U.S.A.; 1st National Ed edition (1993)", Law ,1995
25,The End of Racism: Principles for a Multiracial Society,Dinesh D'Souza,3.9,111.0,Hardcover,12.95,"Free Press (September 14, 1995)", Politics & Social Sciences ,1995
26,Lost Moon: The Perilous Voyage of Apollo 13,James Lovell,4.8,213.0,Hardcover,49.97,"Houghton Mifflin; 1st edition (September 6, 1994)", Engineering & Transportation ,1995
27,C++ Programmer's Guide to the Standard Template Library,Mark Nelson,4.2,6.0,Paperback,2.59,"John Wiley & Sons Inc; Pap/Dis edition (December 1, 1995)", Computers & Technology ,1995
28,"The Prize: The Epic Quest for Oil, Money, & Power",Daniel Yergin,4.7,483.0,Paperback,9.98,"Free Press (January 1, 1993)", Engineering & Transportation ,1995
29,How to Save the World,Charles Sheffield,3.3,4.0,Hardcover,0.99,"Tor Books; 1st edition (September 1, 1995)", Science Fiction & Fantasy ,1995
30,I Sing the Body Electronic : A Year With Microsoft on the Multimedia Frontier,Fred Moody,4.0,11.0,Paperback,1.49,"Viking Adult; 1st edition (January 1, 1995)", Computers & Technology ,1995
31,Microserfs,Douglas Coupland,3.8,160.0,Hardcover,16.99,"Harpercollins; 1st edition (June 1, 1995)", Literature & Fiction ,1995
32,The Structure of Scientific Revolutions,Thomas S. Kuhn,4.3,440.0,Paperback,1.61,"University of Chicago Press; 2nd edition (April 1, 1970)", Science & Math ,1995
33,Lincoln,David Herbert Donald,4.5,288.0,Hardcover,23.12,"Simon & Schuster; 1st edition (October 16, 1995)", Biographies & Memoirs ,1995
34,Hooked on Java: Creating Hot Web Sites With Java Applets,Arthur Van Hoff,2.2,2.0,Paperback,18.17,"Addison-Wesley; Pap/Cdr edition (January 1, 1996)", Computers & Technology ,1995
35,"I, Asimov: A Memoir",Isaac Asimov,4.5,73.0,Paperback,7.99,"Bantam; Reissue edition (January 1, 1995)", Biographies & Memoirs ,1995
36,Re-Zoom (Viking Kestrel picture books),Istvan Banyai,4.5,77.0,Hardcover,14.4,"Viking Juvenile (September 1, 1995)", Children's Books ,1995
37,Solve Your Child's Sleep Problems,Richard Ferber,4.6,1045.0,Paperback,13.95,"Fireside; Reprint edition (April 17, 1986)", Parenting & Relationships ,1995
38,Shave the Whales,Scott Adams,4.2,8.0,Paperback,0.1,"Andrews McMeel Publishing; Original edition (April 1, 1994)", Comics & Graphic Novels ,1995
39,"City of Bits: Space, Place, and the Infobahn",William J. Mitchell,3.1,11.0,Hardcover,46.62,"Mit Pr; 1st Edition edition (August 1, 1995)", Arts & Photography ,1995
40,Programming Perl (Nutshell Handbooks),Randal L. Schwartz,5.0,2.0,Paperback,7.99,"O'Reilly Media; 1 edition (January 11, 1991)", Computers & Technology ,1995
41,Patrick O'Brian Calendar 1996,P O'Brian,4.3,21.0,Hardcover,9.97,"W.W. Norton; Wall edition (December 12, 1995)", Arts & Photography,1995
42,David Brinkley,David Brinkley,4.7,1786.0,Hardcover,7.19,"Alfred A. Knopf Inc.; 1st edition (October 10, 1995)", Biographies & Memoirs ,1995
43,The Killer Angels: The Classic Novel of the Civil War (Civil War Trilogy),Michael Shaara,5.0,9.0,Mass Market Paperback,2.44,"Ballantine Books (August 12, 1987)", Literature & Fiction ,1995
44,Jim Fobel's Big Flavors,Jim Fobel,4.6,198.0,Paperback,43.43,"Clarkson Potter; First Edition edition (March 7, 1995)"," Cookbooks, Food & Wine",1995
45,Peopleware : Productive Projects and Teams,Tom Demarco,4.6,207.0,Paperback,32.22,NY: Dorset House Publishing; 1st edition (November 1987), Textbooks ,1995
46,The Vision Of The Anointed: Self-congratulation As A Basis For Social Policy,Thomas Sowell,4.8,43.0,Hardcover,4.15,"Basic Books; First Edition edition (July 14, 1995)", Politics & Social Sciences ,1995
47,Charles Kuralt's America,Charles Kuralt,4.5,181.0,Hardcover,13.96,"Putnam Adult; First Edition edition (October 17, 1995)", Reference ,1995
48,"Behind the Lines (Corps, Vol 7)",W.E.B. Griffin,,,Hardcover,5.0,"Putnam Adult; First Edition edition (January 3, 1996)", Literature & Fiction ,1995
49,The Wall Street Journal Book of Personal Technology,Walter S. Mossberg,,,Paperback,,"Crown Business; 1 edition (September 11, 1995)", Computers & Technology ,1995
0,Creating Killer Web Sites: The Art of Third-Generation Site Design,David Siegel,3.6,107.0,Paperback,54.0,Hayden Books; 2nd edition (June 1996), Computers & Technology ,1996
1,Executive Orders,Tom Clancy,4.3,869.0,Hardcover,11.2,"Putnam; 1st edition (August 13, 1996)"," Mystery, Thriller & Suspense ",1996
2,"The Dilbert Principle: A Cubicle's-Eye View of Bosses, Meetings, Management Fads & Other Workplace Afflictions",Scott Adams,4.4,134.0,Hardcover,11.8,"John Wiley & Sons (September 7, 1996)", Business & Money ,1996
3,Against the Gods: The Remarkable Story of Risk,Peter L. Bernstein,4.2,296.0,Hardcover,20.95,"Vintage Books (November 30, 1993)", Literature & Fiction ,1996
4,The English Patient,Michael Ondaatje,3.9,372.0,Paperback,13.49,"Putnam Adult (September 9, 1996)", Science Fiction & Fantasy ,1996
5,Idoru,William Gibson,4.1,150.0,Hardcover,16.37,"Knopf; 1st trade ed edition (November 27, 1996)"," Mystery, Thriller & Suspense ",1996
6,Airframe,Michael Crichton,4.4,2968.0,Hardcover,2.99,Mis Pr; 1st edition (February 1996), Computers & Technology ,1996
7,Creating Great Web Graphics,Laurie McCanna,3.4,5.0,Paperback,8.0,"Simon & Schuster (August 20, 1996)", Textbooks ,1996
8,Dogbert's Top Secret Management Handbook,Scott Adams,3.8,45.0,Hardcover,3.99,Graphics Pr (February 1992), Science & Math ,1996
9,Where Wizards Stay Up Late: The Origins of the Internet,Katie Hafner,4.5,119.0,Hardcover,48.99,Graphics Pr (February 1992), Science & Math ,1996
10,The Visual Display of Quantitative Information,Edward R. Tufte,4.4,260.0,Hardcover,40.0,"HarperBusiness; 1st edition (October 5, 1995)", Business & Money ,1996
11,Inside the Tornado: Marketing Strategies from Silicon Valley's Cutting Edge,Geoffrey A. Moore,4.4,60.0,Hardcover,0.1,"Putnam Adult; First Edition edition (September 24, 1996)", Reference ,1996
12,Woe Is I: The Grammarphobe's Guide to Better English in Plain English,Patricia T. O'Conner,4.5,315.0,Hardcover,4.55,Simon & Schuster; 1st edition (1996), History ,1996
13,"Undaunted Courage: Meriwether Lewis, Thomas Jefferson and the Opening of the American West",Stephen E. Ambrose,4.6,1231.0,Hardcover,14.86,"Doubleday Business; 1 edition (September 1, 1996)", Computers & Technology ,1996
14,Only the Paranoid Survive,Andrew S. Grove,4.3,150.0,Hardcover,19.14,"Crown (September 24, 1996)", Humor & Entertainment ,1996
15,Dave Barry In Cyberspace,Dave Barry,4.2,192.0,Hardcover,2.0,"Madison Books (November 5, 1996)", Computers & Technology ,1996
16,NetSpy,NetGuide,2.5,7.0,Paperback,5.04,"Harper Paperbacks; 1 edition (April 18, 1996)", Humor & Entertainment ,1996
17,Martha Stuart's Better Than You at Entertaining (A Parody),Tom Connor,4.5,16.0,Paperback,1.99,"O'Reilly Media; Second edition (October 11, 1996)", Computers & Technology ,1996
18,Programming Perl,Tom Christiansen,3.8,42.0,Paperback,9.95,"Harperbusiness; First Edition edition (October 1, 1995)", Engineering & Transportation ,1996
19,Crossing the Chasm: Marketing and Selling High-Tech Products to Mainstream Customers,Geoffrey A. Moore,4.2,95.0,Paperback,3.49,"Integral Pr; 1st edition (September 1, 1995)", Religion & Spirituality ,1996
20,Virus of the Mind: The New Science of the Meme,Richard Brodie,3.9,143.0,Hardcover,7.99,"Wiley; 1 edition (November 3, 1995)", Business & Money ,1996
21,World Wide Web Marketing: Integrating the Internet into Your Marketing Strategy,Jim Sterne,3.1,4.0,Paperback,2.3,"Basic Books; Reprint edition (April 14, 1995)", Computers & Technology ,1996
22,"Out of Control: The New Biology of Machines, Social Systems, & the Economic World",Kevin Kelly,4.6,61.0,Paperback,17.92,"Crown Business; 1st U.S. ed edition (January 15, 1996)", Textbooks ,1996
23,The Witch Doctors,John Micklethwait,3.7,26.0,Hardcover,1.25,"Que Macmillan USA; 1st edition (October 1, 1996)", Arts & Photography ,1996
24,24 Hours in Cyberspace: Painting on the Walls of the Digital Cave Photographed on One Day by 150 of the World's Leading Photojournalists (Day in the Life),Jennifer Erwitt,4.1,4.0,Hardcover,4.94,Little Brown; 1st edition (1996), Science & Math ,1996
25,The Pinball Effect: How Renaissance Water Gardens Made the Carburetor Possible-And Other Journeys Through Knowledge,James Burke,4.2,26.0,Paperback,5.95,"Vintage; 1st edition (September 26, 1995)", Humor & Entertainment ,1996
26,Snow Falling on Cedars,David Guterson,4.3,816.0,Paperback,8.89,"Vintage; Reprint edition (July 2, 1996)", Religion & Spirituality ,1996
27,The Stars My Destination,Alfred Bester,4.3,517.0,Paperback,1.06,"Basic Books; 1st edition (September 5, 1996)", Medical Books ,1996
28,It's Obvious You Won't Survive By Your Wits Alone,Scott Adams,3.6,11.0,Paperback,8.66,"O'Reilly Media; 1 edition (March 11, 1996)", Computers & Technology ,1996
29,"How Brains Think: Evolving Intelligence, Then And Now (Science Masters)",William H. Calvin,4.2,11.0,Hardcover,19.0,Mcgraw-Hill; 1 edition (August 1996), Textbooks ,1996
30,Java in a Nutshell: A Desktop Quick Reference for Java Programmers (Nutshell Handbooks),David Flanagan,4.5,6.0,Paperback,9.95,"Knopf; 1 edition (May 7, 1996)", Reference ,1996
31,What Works on Wall Street: A Guide to the Best-Performing Investment Strategies of All Time,James P. O'Shaughnessy,3.8,42.0,Hardcover,17.24,"Tor Science Fiction (July 15, 1994)", Science Fiction & Fantasy ,1996
32,Why Things Bite Back: Technology and the Revenge of Unintended Consequences,Edward Tenner,4.0,37.0,Hardcover,1.0,"Microsoft Press; 1 edition (July 12, 1996)", Computers & Technology ,1996
33,Ender's Game (The Ender Quintet),Orson Scott Card,4.5,9575.0,Mass Market Paperback,7.19,"Pantheon; 1 edition (October 8, 1996)", Medical Books ,1996
34,Rapid Development: Taming Wild Software Schedules,Steve McConnell,4.6,97.0,Paperback,21.6,"Regan Book; 1st edition (May 12, 1995)"," Health, Fitness & Dieting ",1996
35,"Born to Rebel: Birth Order, Family Dynamics, and Creative Lives",Frank J. Sulloway,3.8,32.0,Hardcover,0.25,"Free Press; 1st edition (September 15, 1990)", Business & Money ,1996
36,Enter The Zone: A Dietary Road map,Barry Sears,4.2,291.0,Hardcover,16.84,"Vintage; 1 edition (January 3, 1996)", Computers & Technology ,1996
37,The 7 Habits of Highly Effective People,Stephen R. Covey,4.5,5178.0,Paperback,11.95,Anchor Books; 1st edition (January 1990), Literature & Fiction ,1996
38,Being Digital,Nicholas Negroponte,4.1,79.0,Paperback,12.43,"Vintage; Reprint edition (March 19, 1996)", Christian Books & Bibles ,1996
39,The Book of Ruth,Jane Hamilton,3.7,240.0,Paperback,6.7,"McGraw-Hill; 1st edition (October 1, 1995)", Computers & Technology ,1996
40,God: A Biography,Jack Miles,4.2,109.0,Paperback,10.82,"Perennial (February 1, 1995)", Self-Help ,1996
41,The Digital Economy: Promise and Peril in the Age of Networked Intelligence,Don Tapscott,3.6,21.0,Hardcover,4.99,"W. W. Norton & Company; 1st edition (October 17, 1996)", Literature & Fiction ,1996
42,"History Laid Bare: Love, Sex, and Perversity from the Ancient Etruscans to Warren G. Harding",Richard Zacks,4.1,14.0,Paperback,3.0,"Anchor; Edition Unstated edition (February 1, 1995)", Science & Math ,1996
43,The Yellow Admiral,Patrick O'Brian,4.4,103.0,Hardcover,3.21,"Basic Books; First Printing edition (October 20, 1996)", Science & Math ,1996
44,"Hyperspace: A Scientific Odyssey Through Parallel Universes, Time Warps, and the 10th Dimension",Michio Kaku,4.5,295.0,Paperback,13.11,"Spectra (April 1, 1993)", Science Fiction & Fantasy ,1996
45,Fermat's Last Theorem: Unlocking the Secret of an Ancient Mathematical Problem,Amir D. Aczel,4.1,45.0,Paperback,12.0,"Spectra (April 1, 1993)", Science Fiction & Fantasy ,1996
46,Snow Crash,Neal Stephenson,4.1,1519.0,Mass Market Paperback,3.0,"Scribner (September 5, 1996)", Biographies & Memoirs ,1996
47,Angela's Ashes (The Frank McCourt Memoirs),Frank McCourt,4.4,2357.0,Hardcover,15.23,"Broadway Books; Reprint edition (July 25, 1995)", Humor & Entertainment ,1996
48,Extraordinary Popular Delusions & the Madness of Crowds,Andrew Tobias,3.9,315.0,Paperback,0.25,"Broadway Books; Reprint edition (July 25, 1995)", Humor & Entertainment ,1996
49,Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time,Dava Sobel,4.5,990.0,Hardcover,23.75,"Walker Books; 1 edition (November 1, 1995)", Engineering & Transportation ,1996
0,The Rules: Time-Tested Secrets for Capturing the Heart of Mr. Right,Ellen Fein,4.0,818.0,Mass Market Paperback,0.01,"Grand Central Publishing (February 1, 1996)", Parenting & Relationships ,1996
1,M is for Malice (The Kinsey Millhone Alphabet Mysteries),Sue Grafton,4.5,310.0,Hardcover,11.0,"Grand Central Publishing (February 1, 1996)", Parenting & Relationships ,1996
2,Emotional Intelligence: Why It Can Matter More than IQ,Daniel Goleman,4.3,906.0,Hardcover,8.98,"Henry Holt and Co. (November 15, 1996)"," Mystery, Thriller & Suspense ",1996
3,The HTML Sourcebook: A Complete Guide to HTML 3.0 (Sourcebooks),Ian S. Graham,3.3,4.0,Paperback,5.49,"Bantam; 1 edition (September 1, 1995)"," Health, Fitness & Dieting ",1996
4,Designing Web Graphics Edition,Linda Weinman,5.0,4.0,Paperback,14.5,"Wiley; 2 edition (February 9, 1996)", Computers & Technology ,1996
5,Slouching Towards Gomorrah,Robert H. Bork,4.6,188.0,Hardcover,5.0,Pearson Indiana; Bk&Disk edition (January 1996), Textbooks ,1996
6,Planning and Managing Web Sites on the Macintosh: The Complete Guide to Webstar and Machttp,Jon Wiederspan,1.0,1.0,Paperback,1.6,"HarperCollins (June 1, 1996)", Politics & Social Sciences ,1996
7,A Reporter's Life,Walter Cronkite,4.0,68.0,Hardcover,2.69,"Addison-Wesley; Pap/Cdr edition (December 27, 1995)", Computers & Technology ,1996
8,The Microsoft Way: The Real Story Of How The Company Outsmarts Its Competition,Randall E. Stross,2.9,13.0,Hardcover,4.25,"Knopf; 1st edition (November 27, 1996)", Biographies & Memoirs ,1996
9,The Laws of Our Fathers,Scott Turow,3.2,139.0,Hardcover,10.1,"Basic Books (February 20, 1995)", Business & Money ,1996
10,DARWIN'S DANGEROUS IDEA: EVOLUTION AND THE MEANINGS OF LIFE,Daniel C. Dennett,4.0,176.0,Paperback,10.75,"Farrar, Straus and Giroux; First Edition edition (October 18, 1996)"," Mystery, Thriller & Suspense ",1996
11,Great Books,David Denby,4.1,62.0,Hardcover,7.35,"Simon & Schuster; Reprint edition (June 12, 1996)", Politics & Social Sciences ,1996
12,"A Crown of Swords (The Wheel of Time, Book 7)",Robert Jordan,4.3,791.0,Hardcover,23.19,"Simon & Schuster; 1st edition (September 9, 1996)", Literature & Fiction ,1996
13,Alias Grace,Margaret Atwood,4.3,469.0,Hardcover,23.69,"Tor Books; 1st edition (June 1, 1996)", Science Fiction & Fantasy ,1996
